,Epoch,P1,P0,Fscore
0,0,0.6164383292198181,0.75,0.6908904607567451
1,1,0.6025104522705078,0.800000011920929,0.6943104990553377
2,2,0.6131687164306641,0.8552631735801697,0.7102001787931841
